"","addr_state","annual_inc","int_rate","issue_d","loan_amnt"
"2012","VA",52000,7.9,2011,6000
"2013","CA",52000,11.71,2011,10000
"2014","MA",125000,18.64,2011,24000
"2015","AK",80000,12.69,2011,23000
"2016","CT",68000,16.77,2011,12000
"2017","SC",63000,18.25,2011,18000
"2018","MA",48000,17.58,2011,20000
"2019","MA",31500,8.9,2011,14850
"2020","IL",65000,18.25,2011,15000
"2021","MD",87504,8.9,2011,12650
"2022","NJ",58000,13.49,2011,17500
"2023","FL",53000,16.77,2011,21000
"2024","NC",115000,15.96,2011,15000
"2025","WI",41000,17.27,2011,15000
"2026","PA",35000,6.03,2011,9500
"2027","NY",49920,17.27,2011,13000
"2028","MN",57500,14.27,2011,12000
"2029","CA",80000,7.9,2011,8000
"2030","FL",21996,19.42,2011,6400
"2031","CA",60000,8.9,2011,10000
"2032","CA",55000,14.27,2011,12000
"2033","UT",25000,11.71,2011,4125
"2034","CA",75000,6,2011,7000
"2035","GA",37000,8.9,2011,6000
"2036","MO",30000,11.71,2011,14300
"2037","MD",115000,18.64,2011,33000
"2038","FL",43000,17.58,2011,17625
"2039","OH",59000,6.03,2011,6000
"2040","NV",40000,16.77,2011,10000
"2041","NY",80000,12.42,2011,1500
"2042","OR",31500,11.71,2011,13200
"2043","OH",68000,19.03,2011,25000
"2044","WV",24000,8.9,2011,6000
"2045","FL",28800,6.62,2011,5150
"2046","PA",45500,11.71,2011,5000
"2047","GA",54000,12.69,2011,21625
"2048","OH",50000,7.9,2011,18000
"2049","FL",84000,11.71,2011,5000
"2050","GA",49152,11.71,2011,3000
"2051","CA",38400,17.58,2011,7500
"2052","NJ",75000,14.65,2011,5000
"2053","NJ",60000,12.69,2011,15000
"2054","NC",42000,10.65,2011,12000
"2055","CA",31500,8.9,2011,14000
"2056","TX",64000,6.62,2011,10200
"2057","PA",68124,8.9,2011,14000
"2058","IL",48000,18.64,2011,15000
"2059","PA",24000,14.27,2011,2700
"2060","IL",55000,18.64,2011,16000
"2061","GA",85500,17.58,2011,18000
"2062","NY",57000,12.42,2011,12000
"2063","NC",40000,12.69,2011,7500
"2064","NY",90000,7.51,2011,1800
"2065","FL",120000,11.71,2011,12000
"2066","HI",108000,19.03,2011,8000
"2067","CO",21000,7.9,2011,6250
"2068","UT",108000,13.49,2011,11000
"2069","CA",75000,12.69,2011,20000
"2070","NY",41600,19.91,2011,20000
"2071","CA",22300,15.27,2011,3775
"2072","CA",110000,6.03,2011,6000
"2073","TX",42000,13.49,2011,15000
"2074","MO",42000,12.42,2011,16750
"2075","NY",90000,7.51,2011,7750
"2076","VA",65000,14.27,2011,7000
"2077","AZ",88000,12.69,2011,9800
"2078","MD",90000,7.9,2011,25000
"2079","CA",32993.73,11.71,2011,4000
"2080","WA",80000,17.58,2011,13200
"2081","GA",50000,6.03,2011,12000
"2082","WA",54480,23.91,2011,21575
"2083","AZ",66000,14.65,2011,3300
"2084","FL",112000,15.27,2011,5400
"2085","MD",85000,12.42,2011,12000
"2086","CA",45200,15.27,2011,16000
"2087","CA",53000,12.42,2011,16250
"2088","PA",60000,15.27,2011,12000
"2089","CA",82000,8.9,2011,6000
"2090","CA",50000,7.51,2011,10000
"2091","NJ",80000,12.69,2011,20000
"2092","TX",35000,12.69,2011,12000
"2093","NY",40000,12.42,2011,13200
"2094","FL",32000,19.03,2011,11625
"2095","IL",1e+05,13.49,2011,15000
"2096","KS",60000,13.49,2011,18000
"2097","LA",30000,8.9,2011,8300
"2098","KS",22776,9.91,2011,7000
"2099","CA",50000,15.27,2011,7000
"2100","CO",175000,19.91,2011,35000
"2101","PA",42000,17.27,2011,18000
"2102","CA",45000,6.03,2011,10800
"2103","CA",58000,9.91,2011,20000
"2104","IL",36000,12.42,2011,10000
"2105","TX",82570,15.27,2011,18000
"2106","CT",60000,13.49,2011,10000
"2107","VA",49000,12.42,2011,7200
"2108","MO",21600,7.9,2011,5000
"2109","CA",60000,17.58,2011,25000
"2110","LA",50400,7.51,2011,8375
"2111","CA",1e+05,20.89,2011,30000
"2112","CO",48000,20.89,2011,19075
"2113","FL",29000,12.42,2011,1200
"2114","GA",70666.08,17.27,2011,15000
"2115","NY",75500,12.42,2011,3000
"2116","CA",85602,18.64,2011,35000
"2117","PA",67200,7.9,2011,8000
"2118","CA",117996,7.9,2011,16000
"2119","IL",39870,10.65,2011,10000
"2120","FL",60000,13.49,2011,27050
"2121","NY",35000,18.25,2011,8000
"2122","MA",48000,16.29,2011,7500
"2123","NV",105000,16.29,2011,12000
"2124","VA",27120,8.9,2011,8500
"2125","PA",54000,15.27,2011,12000
"2126","AZ",60000,11.71,2011,10000
"2127","CA",57960,18.25,2011,15000
"2128","VA",40000,14.27,2011,15000
"2129","NJ",77000,16.77,2011,10000
"2130","PA",150000,19.03,2011,35000
"2131","CA",75000,9.91,2011,12000
"2132","AL",76519.82,19.42,2011,35000
"2133","TX",80000,20.3,2011,6800
"2134","CA",171600,17.27,2011,30000
"2135","CO",45204,7.51,2011,12000
"2136","AZ",52000,17.27,2011,18725
"2137","NJ",40000,15.27,2011,13000
"2138","TX",170000,12.42,2011,18000
"2139","CA",62400,12.42,2011,12000
"2140","GA",33000,11.71,2011,16500
"2141","NY",45000,21.67,2011,8000
"2142","AK",137000,19.42,2011,35000
"2143","TX",52000,11.71,2011,18000
"2144","UT",60000,12.69,2011,20000
"2145","CT",350000,7.51,2011,12000
"2146","CO",74000,7.51,2011,12000
"2147","CA",74000,9.91,2011,1000
"2148","CA",72000,12.69,2011,20000
"2149","CA",48000,16.29,2011,24000
"2150","LA",54000,13.49,2011,15000
"2151","CA",34000,11.71,2011,12000
"2152","VA",50000,12.42,2011,17000
"2153","OH",77000,12.42,2011,12000
"2154","NY",165000,21.28,2011,20000
"2155","TX",100450,12.69,2011,24000
"2156","LA",47000,6.62,2011,7500
"2157","VA",48000,14.65,2011,20000
"2158","NY",130500,15.96,2011,7000
"2159","TX",99000,17.58,2011,12800
"2160","NJ",50000,6.03,2011,3000
"2161","MD",65000,12.42,2011,10000
"2162","FL",65508,8.9,2011,8400
"2163","NJ",53481.36,6.03,2011,15000
"2164","IL",80000,22.06,2011,30000
"2165","MI",109000,7.51,2011,12000
"2166","OR",75000,13.49,2011,11125
"2167","CA",40000,14.27,2011,20000
"2168","SD",26000,6.62,2011,3525
"2169","CA",64000,7.51,2011,3000
"2170","VA",170000,21.67,2011,19800
"2171","HI",40000,10.65,2011,10000
"2172","NY",101000,9.91,2011,5000
"2173","MO",105000,12.69,2011,3000
"2174","CT",50000,14.27,2011,11200
"2175","WA",60000,7.9,2011,4800
"2176","WY",37500,12.42,2011,6000
"2177","TX",39000,9.91,2011,3500
"2178","OH",55000,17.27,2011,13350
"2179","NY",33800,11.71,2011,15000
"2180","NV",40000,12.69,2011,20000
"2181","OR",84000,7.9,2011,25000
"2182","WI",49000,6.03,2011,5600
"2183","CA",50400,17.27,2011,25000
"2184","MO",50000,13.49,2011,16000
"2185","CA",75000,7.51,2011,24000
"2186","TX",67000,13.49,2011,14000
"2187","FL",13288,17.27,2011,2400
"2188","MA",57000,7.51,2011,11500
"2189","FL",60000,14.65,2011,2100
"2190","NC",75000,7.9,2011,6000
"2191","NY",65500,13.49,2011,14000
"2192","FL",45000,13.49,2011,12800
"2193","CA",42000,7.51,2011,8000
"2194","NY",50000,21.28,2011,12400
"2195","CA",89000,17.58,2011,15000
"2196","CA",60000,8.9,2011,7200
"2197","IL",72000,7.9,2011,8000
"2198","MN",30000,9.91,2011,10000
"2199","TX",60000,12.42,2011,21200
"2200","IL",75000,14.27,2011,9300
"2201","MA",43000,19.03,2011,21500
"2202","NJ",55000,14.65,2011,15000
"2203","FL",68000,20.89,2011,30000
"2204","NY",54000,15.27,2011,19125
"2205","MO",60000,14.65,2011,17000
"2206","NY",80000,12.42,2011,20000
"2207","FL",58000,7.51,2011,5000
"2208","HI",35000,14.27,2011,5000
"2209","NY",40000,18.25,2011,3800
"2210","FL",37513,6.62,2011,5000
"2211","GA",58000,17.58,2011,29000
"2212","OH",1e+05,17.58,2011,14000
"2213","PA",75000,10.65,2011,12000
"2214","WA",80000,13.49,2011,23000
"2215","CA",62000,12.69,2011,14000
"2216","NY",26000,11.71,2011,5000
"2217","TX",54000,13.49,2011,2500
"2218","PA",46000,11.71,2011,12000
"2219","CA",36636,6.03,2011,5000
"2220","CA",96000,11.71,2011,19800
"2221","TX",75000,18.25,2011,22000
"2222","CA",45000,13.49,2011,15000
"2223","WA",114000,13.49,2011,7200
"2224","CA",1e+05,16.77,2011,10000
"2225","CA",108000,16.29,2011,8000
"2226","OK",46000,8.9,2011,4800
"2227","NC",62000,6.62,2011,5000
"2228","WA",52000,12.69,2011,10000
"2229","NY",60000,13.49,2011,15000
"2230","NH",60000,11.71,2011,25000
"2231","OK",86923,10.65,2011,25000
"2232","PA",62400,12.42,2011,31000
"2233","TX",60000,10.65,2011,12000
"2234","FL",91000,15.96,2011,10000
"2235","CA",63000,12.42,2011,20000
"2236","NY",82000,14.27,2011,20000
"2237","CA",71040,20.89,2011,21000
"2238","FL",31500,6.03,2011,8000
"2239","GA",63000,14.65,2011,15500
"2240","TX",28800,6.62,2011,5575
"2241","LA",68000,12.42,2011,30000
"2242","IL",60000,14.27,2011,10000
"2243","MO",40000,14.65,2011,20000
"2244","AL",42000,12.42,2011,10000
"2245","NM",42000,12.69,2011,12000
"2246","GA",55560,14.27,2011,1450
"2247","CA",75000,21.28,2011,30000
"2248","VT",75000,18.25,2011,12900
"2249","TX",95000,11.71,2011,24000
"2250","GA",27600,14.27,2011,2000
"2251","RI",84000,17.27,2011,22000
"2252","MD",70000,8.9,2011,7000
"2253","NY",92000,11.71,2011,10000
"2254","IL",60000,11.71,2011,25000
"2255","MA",26400,14.27,2011,7750
"2256","AZ",90000,15.27,2011,20000
"2257","CA",152004,18.64,2011,29100
"2258","OK",30000,8.9,2011,12000
"2259","TX",102000,7.51,2011,10150
"2260","TX",47000,13.49,2011,3800
"2261","TX",55000,6.03,2011,10000
"2262","OR",57000,11.71,2011,7000
"2263","AZ",80000,6.03,2011,15000
"2264","CA",150000,13.49,2011,10000
"2265","MA",50000,11.71,2011,22000
"2266","CA",50000,22.06,2011,18825
"2267","MA",80000,7.51,2011,10000
"2268","NJ",65000,17.27,2011,20000
"2269","CT",87000,14.65,2011,8000
"2270","VA",88000,12.42,2011,12000
"2271","CA",52008,18.64,2011,20450
"2272","CT",40000,14.27,2011,12000
"2273","CT",56400,12.42,2011,7000
"2274","MA",103000,12.69,2011,24000
"2275","PA",125004,17.58,2011,24000
"2276","GA",36475,10.65,2011,7000
"2277","MO",78413,10.65,2011,17500
"2278","WA",44000,7.51,2011,6400
"2279","CA",62000,17.27,2011,15000
"2280","FL",33000,7.9,2011,13000
"2281","PA",63000,15.96,2011,18000
"2282","FL",65000,6.62,2011,8000
"2283","CO",48000,10.65,2011,7800
"2284","CA",53000,14.27,2011,15000
"2285","TX",60000,18.64,2011,23600
"2286","CA",95000,12.42,2011,15000
"2287","NY",86779,18.25,2011,24000
"2288","NY",48000,12.69,2011,23500
"2289","OK",83500,21.67,2011,35000
"2290","VA",44400,17.27,2011,2100
"2291","MD",40000,15.96,2011,16600
"2292","KS",102000,15.96,2011,18000
"2293","AR",60000,14.27,2011,16000
"2294","OH",37500,12.42,2011,12000
"2295","VA",75000,19.03,2011,18000
"2296","FL",50000,13.49,2011,10800
"2297","CT",47840,12.42,2011,15000
"2298","NJ",40000,15.27,2011,7100
"2299","IL",80000,9.91,2011,10000
"2300","MD",51000,12.69,2011,6000
"2301","MD",65000,16.29,2011,10400
"2302","AL",25056,12.42,2011,2000
"2303","NY",75000,16.29,2011,8000
"2304","FL",40000,14.27,2011,10000
"2305","NY",83000,11.71,2011,12000
"2306","NV",61000,15.96,2011,16000
"2307","VA",2e+05,19.03,2011,35000
"2308","VA",42000,6.62,2011,4500
"2309","NY",80000,19.03,2011,12000
"2310","NJ",120000,7.9,2011,20000
"2311","IL",45000,10.65,2011,10000
"2312","PA",48000,19.42,2011,20000
"2313","CA",80000,20.89,2011,28000
"2314","CA",90000,10.65,2011,4000
"2315","MN",75000,6.03,2011,12000
"2316","TX",98000,16.77,2011,12000
"2317","TX",118560,13.49,2011,20000
"2318","MO",72000,7.9,2011,8000
"2319","CA",140000,18.64,2011,35000
"2320","TX",120000,11.71,2011,20000
"2321","GA",77000,12.42,2011,20000
"2322","NC",60000,7.9,2011,3500
"2323","MI",36000,13.49,2011,5000
"2324","HI",60000,14.27,2011,1300
"2325","MN",45000,15.27,2011,7500
"2326","GA",117000,8.9,2011,7800
"2327","OR",25000,11.71,2011,6925
"2328","TX",80000,13.49,2011,12800
"2329","MA",48000,15.27,2011,15000
"2330","CA",40800,12.69,2011,8000
"2331","NC",18000,12.69,2011,5375
"2332","OR",42500,12.69,2011,2500
"2333","TX",45000,8.9,2011,17625
"2334","VA",66000,15.27,2011,6000
"2335","CA",24000,12.42,2011,7100
"2336","NY",110000,16.77,2011,20000
"2337","GA",90000,10.65,2011,2800
"2338","TX",158000,20.89,2011,14000
"2339","WA",32000,7.51,2011,12000
"2340","NY",24947.3,12.69,2011,6625
"2341","VA",40000,12.69,2011,14675
"2342","NY",74000,11.71,2011,15000
"2343","CA",70000,7.9,2011,12000
"2344","CA",44100,8.9,2011,13000
"2345","OK",55000,10.65,2011,12000
"2346","HI",35000,16.29,2011,10000
"2347","NY",83954,16.77,2011,11550
"2348","NY",1e+05,8.9,2011,6000
"2349","NY",248000,18.64,2011,35000
"2350","NJ",160000,16.77,2011,9000
"2351","DE",35000,14.65,2011,12000
"2352","GA",82000,7.9,2011,28000
"2353","PA",43000,14.65,2011,17400
"2354","WI",73000,6.03,2011,13000
"2355","OH",30000,13.49,2011,14000
"2356","KY",37000,13.49,2011,17000
"2357","NJ",30000,14.65,2011,6000
"2358","NY",65000,10.65,2011,20000
"2359","WI",36000,14.65,2011,1100
"2360","NJ",75000,7.9,2011,10000
"2361","CA",54008,9.91,2011,7000
"2362","CA",85000,10.65,2011,14000
"2363","MI",54000,6.62,2011,5000
"2364","CA",84000,6.62,2011,8500
"2365","CA",66500,16.77,2011,19750
"2366","TX",53004,10.65,2011,21000
"2367","IL",50000,18.64,2011,15000
"2368","CA",71151,6.62,2011,12000
"2369","VA",125000,7.51,2011,9000
"2370","FL",180000,18.64,2011,18000
"2371","MA",3e+05,14.27,2011,10000
"2372","MA",35000,8.9,2011,7000
"2373","FL",63000,16.29,2011,8000
"2374","MD",72000,19.03,2011,26000
"2375","CA",64936,10.65,2011,28000
"2376","FL",98000,13.49,2011,35000
"2377","GA",25000,19.42,2011,5500
"2378","CA",105000,14.65,2011,14400
"2379","WA",44000,10.65,2011,10000
"2380","OH",76000,16.77,2011,28000
"2381","TX",24000,16.29,2011,5000
"2382","CA",57000,11.71,2011,20000
"2383","FL",45000,16.77,2011,7000
"2384","PA",72000,13.49,2011,10000
"2385","RI",44000,16.77,2011,10000
"2386","WA",60000,11.71,2011,10000
"2387","NY",65000,10.65,2011,20000
"2388","CA",65000,12.69,2011,6000
"2389","OR",65000,17.27,2011,16000
"2390","LA",125000,9.91,2011,3400
"2391","MO",22500,13.49,2011,6000
"2392","CA",47000,7.9,2011,7000
"2393","PA",52000,13.49,2011,12000
"2394","FL",25000,19.42,2011,7875
"2395","NJ",109992,21.28,2011,21000
"2396","PA",78301,6.62,2011,17000
"2397","NY",54516,9.91,2011,6000
"2398","GA",43000,6.62,2011,9500
"2399","TX",72000,14.27,2011,16000
"2400","TX",65000,22.35,2011,35000
"2401","OH",20400,18.25,2011,1200
"2402","CA",86124,17.58,2011,20000
"2403","CA",24000,14.27,2011,5000
"2404","GA",32000,16.29,2011,5400
"2405","FL",36500,19.91,2011,12000
"2406","NY",38000,9.91,2011,12775
"2407","AZ",21600,17.58,2011,5000
"2408","AL",41500,19.91,2011,15000
"2409","WY",75000,13.49,2011,15600
"2410","CA",67517.64,21.67,2011,5050
"2411","MT",34500,18.25,2011,12000
"2412","PA",120000,18.64,2011,24000
"2413","CA",54600,12.42,2011,25000
"2414","MO",72000,16.29,2011,12000
"2415","CA",70000,12.69,2011,10000
"2416","DC",46000,9.91,2011,2400
"2417","IL",25000,14.27,2011,5825
"2418","HI",65000,11.71,2011,20000
"2419","NY",47000,11.71,2011,16000
"2420","UT",25632,9.91,2011,1500
"2421","MI",50000,10.65,2011,12500
"2422","CA",70000,8.9,2011,12000
"2423","AR",30000,6.03,2011,6000
"2424","NY",47500,8.9,2011,3500
"2425","MD",45000,16.77,2011,4000
"2426","AZ",50000,17.27,2011,12100
"2427","FL",60000,14.27,2011,20000
"2428","FL",25000,7.9,2011,8500
"2429","NJ",90000,12.42,2011,15000
"2430","NY",43000,7.9,2011,15600
"2431","CA",65000,12.42,2011,10000
"2432","IL",78000,12.42,2011,2400
"2433","OH",102000,7.9,2011,12000
"2434","TX",60000,20.3,2011,19000
"2435","CA",40000,14.27,2011,8000
"2436","CA",51000,15.96,2011,10000
"2437","FL",125000,6.62,2011,9000
"2438","VA",158000,17.58,2011,26375
"2439","FL",72000,13.49,2011,10000
"2440","CA",21000,11.71,2011,10000
"2441","TX",65000,20.3,2011,12600
"2442","KS",110000,10.65,2011,6000
"2443","CO",56000,12.42,2011,12800
"2444","VA",135800,15.96,2011,13000
"2445","IL",72000,7.9,2011,8000
"2446","SC",102000,9.91,2011,6975
"2447","FL",53100,7.9,2011,13000
"2448","NJ",65000,16.77,2011,12000
"2449","NJ",80000,6.62,2011,5000
"2450","TX",101000,11.71,2011,17000
"2451","TX",38000,12.42,2011,12800
"2452","NY",67171,8.9,2011,1600
"2453","OH",30000,10.65,2011,1200
"2454","OH",65000,23.13,2011,26300
"2455","MD",56791,20.89,2011,18800
"2456","AR",36000,11.71,2011,12000
"2457","NY",111000,7.9,2011,28000
"2458","CA",9960,21.67,2011,3125
"2459","NY",110000,12.69,2011,20000
"2460","OK",72000,12.69,2011,20000
"2461","NC",53000,9.91,2011,5000
"2462","VA",115000,13.49,2011,19000
"2463","OK",73440,9.91,2011,35000
"2464","FL",47000,9.91,2011,8000
"2465","VA",40000,17.58,2011,7200
"2466","WA",45000,9.91,2011,2400
"2467","AL",87000,19.03,2011,25000
"2468","AL",55000,19.03,2011,24250
"2469","TX",36400,10.65,2011,12000
"2470","AZ",90000,15.96,2011,15000
"2471","TX",45000,18.25,2011,19200
"2472","GA",80000,11.71,2011,9500
"2473","PA",45000,15.96,2011,20000
"2474","NY",45000,12.69,2011,9000
"2475","CO",68000,7.9,2011,16000
"2476","FL",60000,9.91,2011,19600
"2477","OH",58000,13.49,2011,18800
"2478","VA",75000,14.27,2011,10000
"2479","OH",51400,18.25,2011,20000
"2480","CO",21600,17.27,2011,9750
"2481","NJ",90000,22.06,2011,35000
"2482","MN",63000,7.9,2011,20000
"2483","NJ",72000,14.27,2011,12000
"2484","DC",50000,12.42,2011,8000
"2485","OH",67000,12.69,2011,28000
"2486","OH",93000,14.27,2011,6000
"2487","TX",109000,6.03,2011,16000
"2488","LA",45000,9.91,2011,19600
"2489","AZ",55000,7.9,2011,11500
"2490","VA",28800,12.42,2011,3000
"2491","MI",53000,7.9,2011,5000
"2492","GA",54000,12.42,2011,7000
"2493","KS",65000,15.27,2011,23325
"2494","MA",225000,12.69,2011,22200
"2495","IL",34500,17.27,2011,14675
"2496","GA",75000,12.69,2011,14400
"2497","NC",75000,11.71,2011,28000
"2498","TX",65000,19.03,2011,12000
"2499","FL",31000,7.9,2011,15000
"2500","NY",33000,21.67,2011,15000
"2501","AL",36000,13.49,2011,15850
"2502","NY",46000,13.49,2011,12000
"2503","GA",25000,12.69,2011,1800
"2504","CT",30000,9.91,2011,3200
"2505","TX",90000,16.77,2011,17000
"2506","MD",32000,15.96,2011,5500
"2507","FL",42000,13.49,2011,10000
"2508","FL",35000,14.27,2011,11600
"2509","TX",62000,14.27,2011,16000
"2510","VA",95300,22.06,2011,35000
"2511","FL",26000,15.96,2011,11100
"2512","CA",38400,11.71,2011,13000
"2513","CO",45000,14.27,2011,12250
"2514","CA",72000,20.3,2011,29100
"2515","CA",82000,17.58,2011,21600
"2516","FL",61000,15.96,2011,10000
"2517","CA",58000,18.64,2011,29100
"2518","NJ",65000,14.27,2011,2000
"2519","CA",20000,8.9,2011,9500
"2520","IL",95000,11.71,2011,21000
"2521","MA",35000,13.49,2011,11300
"2522","OH",42500,12.69,2011,12000
"2523","VA",75000,19.03,2011,15800
"2524","NY",68000,10.65,2011,18000
"2525","VT",37000,8.9,2011,6400
"2526","CA",30000,7.51,2011,6000
"2527","AZ",55000,8.9,2011,6000
"2528","CA",21600,11.71,2011,5000
"2529","PA",103000,19.91,2011,26400
"2530","UT",70000,14.65,2011,11300
"2531","TX",86000,14.27,2011,14000
"2532","CA",50000,16.29,2011,15000
"2533","SC",102000,13.49,2011,23600
"2534","NC",36000,8.9,2011,5100
"2535","FL",75000,8.9,2011,7500
"2536","NY",58000,10.65,2011,10000
"2537","NM",36000,19.42,2011,6000
"2538","NY",1e+05,14.27,2011,2000
"2539","TX",45000,7.51,2011,6000
"2540","CA",55000,20.3,2011,18000
"2541","MO",49000,16.77,2011,10000
"2542","CT",85000,21.67,2011,24000
"2543","CT",26000,12.42,2011,10000
"2544","CA",40000,16.77,2011,10000
"2545","NY",45136,12.69,2011,10175
"2546","VA",78050,19.03,2011,17000
"2547","FL",32000,7.9,2011,5600
"2548","MD",102000,18.25,2011,20000
"2549","NY",50000,11.71,2011,10000
"2550","NH",46000,15.27,2011,5600
"2551","NY",136000,10.65,2011,2800
"2552","MT",62100,11.71,2011,9600
"2553","AL",88620,6.62,2011,24000
"2554","AL",61938,14.27,2011,18400
"2555","IL",98400,6.62,2011,9000
"2556","OH",65000,19.91,2011,30750
"2557","IL",30000,12.42,2011,6000
"2558","NY",41000,15.96,2011,5000
"2559","GA",240000,20.3,2011,33600
"2560","CT",48000,10.65,2011,10000
"2561","GA",55000,16.77,2011,16800
"2562","AR",52000,14.65,2011,16550
"2563","CT",48000,11.71,2011,12000
"2564","PA",85500,14.65,2011,22000
"2565","OK",75000,7.51,2011,10800
"2566","FL",50000,10.65,2011,7200
"2567","VA",25000,14.27,2011,10625
"2568","NY",35000,15.96,2011,5000
"2569","MA",49639.62,15.27,2011,10000
"2570","CA",40752,13.49,2011,5000
"2571","AL",62000,6.62,2011,8400
"2572","CA",50000,18.64,2011,25000
"2573","CA",72000,17.58,2011,24000
"2574","CA",95000,7.9,2011,4800
"2575","OK",78000,14.65,2011,14000
"2576","CA",125000,13.49,2011,7000
"2577","CA",50000,16.77,2011,15000
"2578","CO",38000,12.42,2011,13000
"2579","CA",125000,14.27,2011,30000
"2580","VA",32000,8.9,2011,6400
"2581","GA",51000,9.91,2011,5650
"2582","WA",60000,7.51,2011,7000
"2583","CA",25000,11.71,2011,8500
"2584","WI",60000,15.96,2011,28000
"2585","CA",37740,7.51,2011,7000
"2586","AZ",96000,20.89,2011,30000
"2587","CA",94500,12.69,2011,20000
"2588","CA",32000,14.27,2011,6000
"2589","WI",72000,7.9,2011,10000
"2590","NJ",1e+05,7.9,2011,12000
"2591","CA",1e+05,21.28,2011,12500
"2592","OH",64800,10.65,2011,15000
"2593","OH",38000,17.27,2011,16450
"2594","HI",39420,15.27,2011,2500
"2595","FL",15000,7.9,2011,6200
"2596","NJ",62000,12.69,2011,12000
"2597","TX",45000,14.27,2011,10000
"2598","MN",30000,16.29,2011,4800
"2599","CA",60000,12.69,2011,17050
"2600","OR",70000,22.74,2011,15000
"2601","FL",23000,14.27,2011,12700
"2602","CO",110000,19.91,2011,35000
"2603","VA",48000,20.3,2011,12000
"2604","OH",48000,19.91,2011,15000
"2605","TX",70000,19.03,2011,24000
"2606","NV",185000,19.42,2011,35000
"2607","NV",36840,17.27,2011,11200
"2608","FL",50000,11.71,2011,7000
"2609","VA",55000,19.42,2011,6200
"2610","CA",60000,15.96,2011,20000
"2611","MD",81500,23.91,2011,35000
"2612","NY",48000,16.77,2011,12000
"2613","NJ",82000,20.3,2011,8500
"2614","MN",45000,6.62,2011,12000
"2615","CA",50000,13.49,2011,12000
"2616","CA",56508,17.27,2011,20000
"2617","NY",57460,13.49,2011,10400
"2618","FL",60400,12.69,2011,5000
"2619","CA",34000,17.27,2011,8400
"2620","VA",98000,21.67,2011,24000
"2621","MA",1e+05,12.42,2011,20000
"2622","MN",41000,19.91,2011,12300
"2623","NJ",50000,13.49,2011,11000
"2624","CO",49500,19.03,2011,18950
"2625","CT",35000,11.71,2011,12000
"2626","NC",50000,11.71,2011,20000
"2627","CA",29000,17.58,2011,3650
"2628","TX",159500,14.27,2011,12000
"2629","FL",56000,17.58,2011,7200
"2630","NC",91000,7.9,2011,33950
"2631","NJ",85000,15.96,2011,13000
"2632","WA",41000,16.77,2011,12600
"2633","NY",60000,11.71,2011,15000
"2634","NY",50000,12.69,2011,4250
"2635","AZ",62000,9.91,2011,7000
"2636","CA",97000,15.96,2011,1500
"2637","MA",2e+05,7.9,2011,25000
"2638","AZ",85000,20.3,2011,15600
"2639","CA",110000,18.64,2011,21000
"2640","CA",65918,12.69,2011,20000
"2641","CA",55000,13.49,2011,20000
"2642","TX",42900,8.9,2011,12000
"2643","CA",51000,12.69,2011,10000
"2644","CA",51300,19.03,2011,5800
"2645","NY",45000,12.42,2011,2400
"2646","PA",60000,14.65,2011,28100
"2647","MI",72000,6.62,2011,4500
"2648","MO",26000,10.65,2011,4800
"2649","WA",45600,7.9,2011,5000
"2650","CA",77000,10.65,2011,18000
"2651","NJ",56900,7.51,2011,25000
"2652","CA",140000,7.9,2011,18000
"2653","NY",72000,15.96,2011,6000
"2654","CA",143000,22.35,2011,35000
"2655","CA",83000,13.49,2011,27000
"2656","CA",45600,9.91,2011,3000
"2657","CA",68000,10.65,2011,10000
"2658","NY",70000,14.65,2011,10125
"2659","MO",47000,12.42,2011,8000
"2660","MO",45000,9.91,2011,10000
"2661","CA",121000,14.27,2011,35000
"2662","GA",82900,21.67,2011,21600
"2663","NY",110000,10.65,2011,12000
"2664","NJ",49000,15.27,2011,6000
"2665","CA",70000,16.29,2011,14000
"2666","CA",50000,14.27,2011,8000
"2667","CA",33936,13.49,2011,14000
"2668","FL",38000,12.69,2011,8000
"2669","AZ",125000,8.9,2011,21000
"2670","TX",70000,11.71,2011,22000
"2671","FL",28800,15.96,2011,6000
"2672","CA",130000,17.58,2011,15000
"2673","FL",54000,11.71,2011,5200
"2674","FL",40000,7.9,2011,17500
"2675","CA",50000,11.71,2011,6400
"2676","WA",22000,10.65,2011,3825
"2677","MA",60000,7.9,2011,21000
"2678","AK",72000,12.42,2011,14000
"2679","WA",50000,10.65,2011,18950
"2680","NC",40000,9.91,2011,3000
"2681","TX",48000,12.69,2011,2400
"2682","NY",75000,12.69,2011,6000
"2683","GA",115000,18.64,2011,16000
"2684","NY",90000,12.42,2011,18000
"2685","WI",25000,16.29,2011,10000
"2686","NM",35000,15.27,2011,2125
"2687","MO",34000,7.9,2011,7500
"2688","FL",80000,6.62,2011,10000
"2689","NC",70000,12.42,2011,21000
"2690","MA",250000,13.49,2011,25000
"2691","NJ",40000,9.91,2011,16000
"2692","TX",60000,7.9,2011,20000
"2693","NY",106000,14.27,2011,3600
"2694","NJ",99996,18.25,2011,20000
"2695","MD",98000,19.03,2011,24000
"2696","GA",50000,20.3,2011,19075
"2697","CA",81600,18.64,2011,10000
"2698","CT",25000,11.71,2011,8000
"2699","OH",11820,14.65,2011,1000
"2700","NC",15456,8.9,2011,4000
"2701","OR",46000,18.25,2011,18800
"2702","CA",84000,12.42,2011,14000
"2703","CA",29000,15.27,2011,15000
"2704","IL",140000,14.27,2011,16775
"2705","CA",25000,8.9,2011,6325
